Alloy,No,Component,Fraction,delta,omega,Phase_inshort
Pd82Si18,2,Pd Si,82 18,0.063885438,26.1690889,AM
CuNi2FeCrAl1.5,5,Cu Ni Fe Cr Al,1 2 1 1 1.5,0.059313193,305.3155073,SS
AlMo0.5NbTa0.5TiZr ,6,Al Mo Nb Ta Ti Zr,1 0.5 1 0.5 1 1 ,0.050410248,225.1616626,IM+SS
AlEr2,2,Al Er,1 2,0.092679044,28.0996089,IM
Ce65Al10Ni10Cu10Nb5,5,Ce Al Ni Cu Nb,65 10 10 10 5,0.144722268,69.71542993,AM
B3FeNd2,3,B Fe Nd,3 1 2,0.31658733,46.91959057,IM
AlB2Ni7,3,Al B Ni,1 2 7,0.159347242,72.51331993,IM
AlCrFeNiMo0.5,5,Al Cr Fe Ni Mo,1 1 1 1 0.5,0.061121774,240.1425466,SS
AuSn,2,Au Sn,1 1,0.05813194,63.85306489,IM
Pr60Al10Ni10Cu20,4,Pr Al Ni Cu,60 10 10 20,0.114621559,49.86271615,AM
Ni60Nb10Hf5Ti25,4,Ni Nb Hf Ti,60 10 5 25,0.084158165,60.25506271,AM
CuCoNiCrAl1.8Fe,6,Cu Co Ni Cr Al Fe,1 1 1 1 1.8 1,0.061325834,337.4162865,SS
Zr57Ti5Cu20Ni8Be10,5,Zr Ti Cu Ni Be,57 5 20 8 10,0.124749139,75.00366177,AM
Dy5Sb3,2,Dy Sb,5 3,0.13371731,14.66147891,IM
Al0.3CoCrFeNi ,5,Al Co Cr Fe Ni,0.3 1 1 1 1,0.037575522,383.3379418,IM+SS
Bi3Pb7,2,Bi Pb,3 7,0.088659264,0,IM
CoCr2FeNi,4,Co Cr Fe Ni,1 2 1 1,0.002795958,596.2117954,SS
AlCoCrCu0.5FeNi2.5,6,Al Co Cr Cu Fe Ni,1 1 1 0.5 1 2.5,0.050613081,329.7644897,SS
BCoMo,3,B Co Mo,1 1 1,0.204498906,91.70796868,IM
Ni61Al11Ni8Co5Cu15,5,Nd Al Ni Co Cu,61 11 8 5 15,0.110637097,69.22693281,AM
