Alloy,No,Component,Fraction,a,delta,Elec_nega,D_elec_nega,VEC,d_VEC,BulkModulus,D_Bulk,omega,Phase_inshort
Pd82Si18,2,Pd Si,82 18,1.33504,0.063885438,2.146,0.115256236,8.92,2.305124725,1.66E+11,30.73499634,26.1690889,AM
CuNi2FeCrAl1.5,5,Cu Ni Fe Cr Al,1 2 1 1 1.5,1.293538462,0.059313193,1.788461538,0.128891496,7.615384615,2.975243016,1.45E+11,40.12701727,305.3155073,SS
AlMo0.5NbTa0.5TiZr ,6,Al Mo Nb Ta Ti Zr,1 0.5 1 0.5 1 1 ,1.4645,0.050410248,1.582,0.217614338,4.3,0.9,1.28E+11,56.30871257,225.1616626,IM+SS
AlEr2,2,Al Er,1 2,1.648,0.092679044,1.363333333,0.174419673,3,0,54666666667,15.08494467,28.0996089,IM
Ce65Al10Ni10Cu10Nb5,5,Ce Al Ni Cu Nb,65 10 10 10 5,1.6533,0.144722268,1.35,0.325392071,4.6,2.989983278,62400000000,60.36091451,69.71542993,AM
B3FeNd2,3,B Fe Nd,3 1 2,1.1635,0.31658733,1.705,0.406355755,3.833333333,1.863389981,1.99E+11,129.4488316,46.91959057,IM
AlB2Ni7,3,Al B Ni,1 2 7,1.1794,0.159347242,1.906,0.111193525,7.9,3.207802986,1.98E+11,68.49700723,72.51331993,IM
AlCrFeNiMo0.5,5,Al Cr Fe Ni Mo,1 1 1 1 0.5,1.299888889,0.061121774,1.797777778,0.172225806,6.666666667,2.449489743,1.56E+11,46.9651828,240.1425466,SS
AuSn,2,Au Sn,1 1,1.531,0.05813194,2.25,0.29,7.5,3.5,1.39E+11,81,63.85306489,IM
Pr60Al10Ni10Cu20,4,Pr Al Ni Cu,60 10 10 20,1.5134,0.114621559,1.41,0.352221521,5.3,3.522782991,71000000000,56.5791481,49.86271615,AM
Ni60Nb10Hf5Ti25,4,Ni Nb Hf Ti,60 10 5 25,1.3349,0.084158165,1.756,0.196784146,7.7,2.83019434,1.58E+11,31.55946768,60.25506271,AM
CuCoNiCrAl1.8Fe,6,Cu Co Ni Cr Al Fe,1 1 1 1 1.8 1,1.300382353,0.061325834,1.776176471,0.12725645,7.264705882,2.95365002,1.42E+11,41.72844325,337.4162865,SS
Zr57Ti5Cu20Ni8Be10,5,Zr Ti Cu Ni Be,57 5 20 8 10,1.45489,0.124749139,1.5249,0.248738799,5.68,3.202748819,1.01E+11,37.55356452,75.00366177,AM
Dy5Sb3,2,Dy Sb,5 3,1.6075,0.13371731,1.53125,0.401822022,3.75,0.968245837,41375000000,0.484122918,14.66147891,IM
Al0.3CoCrFeNi ,5,Al Co Cr Fe Ni,0.3 1 1 1 1,1.259674419,0.037575522,1.805348837,0.107516334,7.88372093,1.955425396,1.66E+11,25.85184732,383.3379418,IM+SS
Bi3Pb7,2,Bi Pb,3 7,1.654,0.088659264,2.237,0.142059847,4.3,0.458257569,41500000000,6.873863542,0,IM
CoCr2FeNi,4,Co Cr Fe Ni,1 2 1 1,1.2472,0.002795958,1.788,0.107591821,7.8,1.6,1.70E+11,8.94427191,596.2117954,SS
AlCoCrCu0.5FeNi2.5,6,Al Co Cr Cu Fe Ni,1 1 1 0.5 1 2.5,1.275285714,0.050613081,1.815,0.117518995,8.071428571,2.520325538,1.58E+11,35.31086437,329.7644897,SS
BCoMo,3,B Co Mo,1 1 1,1.144666667,0.204498906,2.026666667,0.11469767,6,2.449489743,2.43E+11,57.92715732,91.70796868,IM
Ni61Al11Ni8Co5Cu15,5,Nd Al Ni Co Cu,61 11 8 5 15,1.51185,0.110637097,1.4043,0.340435765,5.06,3.328122594,72280000000,56.45884873,69.22693281,AM
