Alloy,No,Component,Fraction,a,delta,Tm,Hmix,D_Hmix,Sid,Elec_nega,D_elec_nega,VEC,D_VEC,BulkModulus,D_Bulk,Phase_inshort
Zr45.38Ti9.62Cu8.75Ni10Be26.25,5,Zr Ti Cu Ni Be,45.38 9.62 8.75 10 26.25,1.4006108,0.146607984,1853.515475,-37.99677,12.96712214,1.3782959,1.521077,0.211945158,4.6875,2.909440453,1.07E+11,36.89835458,AM
AlCoCu,3,Al Co Cu,7 1 2,1.3831,0.054240906,1101.783,-5.4,4.272797678,0.801818553,1.695,0.129942295,5.2,3.4,99200000000,36.91287038,IM
Al20Li20Mg10Sc20Ti30,5,Al Li Mg Sc Ti,20 20 10 20 30,1.5171,0.051625095,1314.832,-0.4,14.11674183,1.557113098,1.383,0.225435135,2.8,1.077032961,66300000000,35.58103427,SS
CoCrCuFeZr0.8 ,5,Co Cr Cu Fe Zr,1 1 1 1 0.8,1.312791667,0.099335677,1837.327083,-9.6875,10.48410138,1.60580651,1.73625,0.201097251,7.75,2.349645363,1.47E+11,36.73341988,AM+IM
Al0.5CoCrCuFeNiTi1.4 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 1.4,1.308376812,0.069377252,1743.319565,-14.02226423,9.492334167,1.913479739,1.759565217,0.147642682,7.405797101,2.704364913,1.48E+11,32.64545432,IM+SS
B6Ni21Zr2,3,B Ni Zr,6 21 2,1.182482759,0.173934264,1883.862069,-28.2235434,7.095015022,0.744129541,1.896896552,0.162864518,8.137931034,3.025456796,2.01E+11,66.46445502,IM
Sr46Al14Co20Y21,4,Sr Al Co Y,46 14 20 20,1.801,0.204941992,1327.0858,-4.6048,11.10199212,1.276234208,1.2824,0.37155651,3.74,2.666908322,60311212121,63.65902888,AM
B2MgNi7,3,B Mg Ni,2 1 7,1.1963,0.180114245,1771.5,-14.88,4.722087674,0.801818553,1.876,0.195509591,7.8,3.370459909,1.95E+11,74.37909653,IM
Zr65Al7.5Cu17.5Ni10,4,Zr Al Cu Ni,65 7.5 17.5 10,1.4976,0.099743591,1863.62,-32.2175,8.442054702,1.009557071,1.50875,0.25382265,5.75,3.031088913,94241666667,38.50964796,AM
AlCoCrCuFe0.5Ni,6,Al Co Cr Cu Fe Ni,1 1 1 1 0.5 1,1.286636364,0.054035009,1613.225455,-5.553719008,6.48975044,1.767761472,1.795454545,0.123976804,7.818181818,2.790183501,1.49E+11,37.35113704,SS
Al9Mn4Si3,3,Al Mn Si,9 4 3,1.3591875,0.077075001,1221.139375,-27.140625,5.591037455,0.984086503,1.649375,0.122956738,4.1875,1.666536453,91500000000,18.75499933,IM
TiZrNbMoV0.75,5,Ti Zr Nb Mo V,1 1 1 1 0.75,1.440842105,0.067275694,2389.947368,-2.703601108,2.178467242,1.603568103,1.653157895,0.281855742,4.789473684,0.766327357,1.48E+11,55.65628756,SS
Cu0.5NiCoCrAl0.5Fe3.5,6,Cu Ni Co Cr Al Fe,0.5 1 1 1 0.5 3.5,1.259266667,0.037372801,1754.682667,-2.577777778,4.446064149,1.522699926,1.814666667,0.091423313,8,1.861898673,1.63E+11,25.31789003,SS
Al11Cu11Mg4,3,Al Cu Mg,11 11 4,1.392846154,0.081527091,1111.370769,-2.017751479,0.498221076,1.015832175,1.686538462,0.208731375,6.230769231,4.097914031,98307692308,37.1905377,IM
Zr66Al8Cu12Ni14,4,Zr Al Cu Ni,66 8 12 14,1.50034,0.099572308,1884.01,-35.4448,8.52418585,1.005985909,1.502,0.250543409,5.6,2.905167809,94830000000,40.85106404,AM
Al3Ti,2,Al Ti,3 1,1.4395,0.009024231,1185.3525,-22.5,3.247595264,0.562335145,1.5925,0.030310889,3.25,0.433012702,84500000000,14.72243186,IM
AuPb2,2,Au Pb,1 2,1.647333333,0.088137956,846.1833333,1.777777778,0.10475656,0.636514168,2.4,0.098994949,6.333333333,3.299831646,1.04E+11,82.02438662,IM
Gd40Al24Co20Y16,4,Gd Al Co Y,40 24 20 16,1.6026,0.144754321,1499.8728,-34.3168,10.30763721,1.324124835,1.4376,0.27646743,4.2,2.4,76000000000,54.19225037,AM
Sm2Fe17Ni3,3,Sm Fe Ni,2 17 3,1.293409091,0.126309038,1757.331818,-2.661157025,3.193049896,0.688917086,1.780909091,0.195096924,7.818181818,1.668869068,1.59E+11,38.52926332,IM
Al2TiVCrCuFeMnCoNi,9,Al Ti V Cr Cu Fe Mn Co Ni,2 1 1 1 1 1 1 1 1,1.3257,0.062715627,1635.471,-15.44,8.589318017,2.163955657,1.712,0.14239382,6.6,2.727636339,1.37E+11,37.83331865,SS
TiZrNbMoV2,5,Ti Zr Nb Mo V,1 1 1 1 2,1.414833333,0.070711992,2346.833333,-2.666666667,1.837537268,1.560710409,1.648333333,0.250959271,4.833333333,0.687184271,1.50E+11,49.77825056,SS
Ni3Sn4,2,Ni Sn,3 4,1.459714286,0.126793306,1029.188571,-3.918367347,0.040397686,0.682908105,1.938571429,0.024743583,6.571428571,2.969229956,1.10E+11,60.37434244,IM
SrCaYbMgZnCu,6,Sr Ca Yb Mg Zn Cu,1 1 1 1 1 1,1.683666667,0.181418082,1038.408333,-13.11111111,6.147032474,1.791759469,1.318333333,0.349543353,5.333333333,4.384315479,52482323232,43.57005907,AM
CuMgSb,3,Cu Mg Sb,1 1 1,1.403,0.100931888,1061.516667,-5.333333333,5.490732934,1.098612289,1.753333333,0.319409177,6,3.741657387,75666666667,45.50702022,IM
MoSi2,2,Mo Si,1 2,1.223,0.080944358,2090,-31.11111111,1.833239803,0.636514168,1.986666667,0.122565175,4.666666667,0.942809042,1.43E+11,61.2825877,IM
