Alloy,No,Component,Fraction,a,delta,Tm,D_Tm,Hmix,D_Hmix,Sid,VEC,D_VEC,BulkModulus,D_Bulk,Phase_inshort
Al22Fe3Ti8,3,Al Fe Ti,22 3 8,1.421909091,0.041205297,1257.495152,459.4583256,-23.55922865,4.148763144,0.831831708,3.696969697,1.42456476,92787878788,28.31399437,IM
Mg65Cu25Gd10,3,Mg Cu Gd,65 25 10,1.54025,0.105473258,1097.9925,246.1519108,-5.71,2.798747086,0.856840995,4.35,3.850649296,68050000000,41.59143542,AM
CoTi,2,Co Ti,1 1,1.3565,0.077773682,1854.5,86.5,-28,0,0.693147181,6.5,2.5,1.45E+11,35,IM
Ni60Al10Ni10Cu20,4,Nd Al Ni Cu,60 10 10 20,1.5074,0.111946698,1314.101,179.5635277,-27.52,6.697493262,1.088899975,5.3,3.522782991,72800000000,55.24635735,AM
Mg54Cu26.5Ag8.5Gd11,4,Mg Cu Ag Gd,54 26.5 8.5 11,1.524145,0.110196544,1137.6581,246.2450614,-8.4484,4.059060387,1.137001343,5.26,4.222842644,74080000000,42.5263871,AM
AlMn,2,Al Mn,1 1,1.391,0.029475198,1226.235,292.765,-19,0,0.693147181,5,2,98000000000,22,IM
BCoMo,3,B Co Mo,1 1 1,1.144666667,0.204498906,2337.333333,460.5658356,-28,8.034647195,1.098612289,6,2.449489743,2.43E+11,57.92715732,IM
NiCoFeCrAl0.3,5,Ni Co Fe Cr Al,1 1 1 1 0.3,1.259674419,0.037575522,1806.288605,295.6353907,-7.268793943,3.910516654,1.542613125,7.88372093,1.955425396,1.66E+11,25.85184732,SS
Cu0.5NiAlCoCrFeSi,7,Cu Ni Al Co Cr Fe Si,0.5 1 1 1 1 1 1,1.263230769,0.063547119,1659.439231,368.7261405,-22.57988166,11.82337015,1.925121191,7,2.717464882,1.44E+11,39.40324079,AM
Bi2CaMg2,3,Bi Ca Mg,2 1 2,1.6076,0.124063092,810.08,227.7415851,-26.24,12.07572905,1.054920168,3.2,1.469693846,33800000000,10.47664068,IM
B2MgNi7,3,B Mg Ni,2 1 7,1.1963,0.180114245,1771.5,373.8853434,-14.88,4.722087674,0.801818553,7.8,3.370459909,1.95E+11,74.37909653,IM
